Config,Datasets,Files,Obj,Total,Greedy,Better,Equal,Worse,Invalid,AvgTimeMean,ObjRatio,GreedyRatio,Gain,GainRatio
autoPop,6,60,228554,241399,227465,40,20,0,0,334.385,0.9467893404695131,0.9422781370262512,1089,0.004511203443261985
high_mut,6,60,228315,241399,227473,39,21,0,0,334.37,0.9457992783731498,0.9423112771801043,842,0.003488001193045539
pop60,6,60,228315,241399,227480,41,19,0,0,334.40333333333336,0.9457992783731498,0.9423402748147258,835,0.00345900355842402
pop20,6,60,228242,241399,227453,36,24,0,0,334.355,0.9454968744692397,0.9422284267954714,789,0.0032684476737683253
low_mut,6,60,228217,241399,227442,37,23,0,0,334.445,0.9453933114884486,0.9421828590839233,775,0.003210452404525288
low_cx,6,60,228195,241399,227448,38,22,0,0,334.4583333333333,0.9453021760653524,0.9422077141993132,747,0.003094461866039213
high_cx,6,60,228164,241399,227436,38,22,0,0,334.44166666666666,0.9451737579691714,0.9421580039685334,728,0.003015754000637948
high_kick,6,60,228146,241399,227439,38,22,0,0,334.5083333333333,0.9450991926230018,0.9421704315262284,707,0.0029287610967733916
