Dataset,Files,Total,Greedy,AutoPop,Gain,GreedyRatio,AutoPopRatio,GainRatio,Better,Equal,Worse,Invalid,AvgTime
Adversarial,10,47899,42180,42236,56,0.8806029353431178,0.8817720620472244,0.0011691267041065575,7,3,0,0,395.18
Exponential,10,47900,43739,43965,226,0.9131315240083507,0.9178496868475992,0.004718162839248434,7,3,0,0,395.09
Gaussian,10,47899,46964,47243,279,0.9804797594939352,0.9863045157518946,0.005824756257959456,9,1,0,0,395.27
Poisson,10,47899,46696,46895,199,0.9748846531242823,0.9790392283763752,0.004154575252092945,7,3,0,0,395.11
Uniform,10,47899,46257,46584,327,0.9657195348545898,0.9725463997160693,0.006826864861479363,8,2,0,0,395.27
hustack,10,1903,1629,1631,2,0.8560168155543878,0.8570677877036259,0.0010509721492380452,2,8,0,0,30.39
